scaffold	start	end	dxy_SILK_KADK	dxy_SILK_WHLH	dxy_KADK_WHLH
Z	216001	217000	0.0082	0.0076	0.0054
Z	217001	218000	0.0076	0.0074	0.0062
Z	218001	219000	0.0048	0.0053	0.0044
Z	219001	220000	0.0062	0.0077	0.0063
Z	220001	221000	0.0022	0.0019	0.001
Z	221001	222000	0.0075	0.0078	0.005
Z	222001	223000	0.0049	0.0045	0.0039
Z	223001	224000	0.0044	0.0067	0.0081
Z	224001	225000	0.0043	0.0054	0.0056
Z	225001	226000	0.0027	0.0023	0.0021
Z	226001	227000	0.0064	0.0041	0.0047
Z	227001	228000	0.0034	0.0041	0.0046
Z	228001	229000	0.0063	0.0034	0.0044
Z	229001	230000	0.0044	0.0034	0.0035
Z	230001	231000	0.0012	0.0006	0.0009
Z	231001	232000	0.0064	0.0057	0.0052
Z	232001	233000	0.0051	0.0034	0.0049
Z	233001	234000	0.0029	0.0013	0.0022
Z	234001	235000	0.0023	0.0028	0.0019
Z	235001	236000	0.0022	0.0013	0.0025
Z	236001	237000	0.0087	0.003	0.0081
Z	237001	238000	0.0086	0.0038	0.0097
Z	238001	239000	0.0297	0.0312	0.0307
Z	239001	240000	0.0032	0.0017	0.0026
Z	240001	241000	0.0054	0.0043	0.0037
Z	241001	242000	0.0032	0.0036	0.0014
Z	242001	243000	0.0045	0.0044	0.0016
Z	243001	244000	0.0053	0.0046	0.0035
Z	244001	245000	0.0035	0.0035	0.0013
Z	245001	246000	0.0027	0.0031	0.0012
Z	246001	247000	0.0008	0.0016	0.0012
Z	247001	248000	0.0065	0.0067	0.0072
Z	248001	249000	0.0014	0.0024	0.0018
Z	249001	250000	0.0018	0.0018	0.0009
Z	250001	251000	0.0037	0.0052	0.0041
Z	251001	252000	0.0056	0.0126	0.0134
Z	252001	253000	0.0025	0.0049	0.0052
Z	253001	254000	0.0045	0.0063	0.0061
Z	254001	255000	0.0022	0.0025	0.0021
Z	255001	256000	0.0039	0.0037	0.0035
Z	256001	257000	0.0057	0.0097	0.0103
Z	257001	258000	0.0064	0.0106	0.0088
Z	258001	259000	0.0076	0.0078	0.0051
Z	259001	260000	0.0028	0.0082	0.009
Z	260001	261000	0.0057	0.0102	0.0091
Z	261001	262000	0.0083	0.0133	0.0115
Z	262001	263000	0.0066	0.0043	0.0069
Z	263001	264000	0.0035	0.0128	0.0122
Z	264001	265000	0.0093	0.0112	0.0141
Z	265001	266000	0.0034	0.006	0.0042
Z	266001	267000	0.0021	0.0063	0.0062
Z	267001	268000	0.0016	0.0056	0.006
Z	268001	269000	0.004	0.0066	0.0058
Z	269001	270000	0.0022	0.0077	0.0084
Z	270001	271000	0.0115	0.0175	0.0162
Z	271001	272000	0.002	0.0092	0.0091
Z	272001	273000	0.002	0.0121	0.0114
Z	273001	274000	0.0052	0.0089	0.008
Z	274001	275000	0.003	0.0109	0.011
Z	275001	276000	0.0049	0.0081	0.0091
Z	276001	277000	0.0047	0.0122	0.0122
Z	277001	278000	0.0086	0.0064	0.0077
Z	278001	279000	0.012	0.0163	0.0146
Z	279001	280000	0.0061	0.0062	0.0074
Z	280001	281000	0.007	0.0134	0.0119
Z	281001	282000	0.0018	0.0076	0.0085
Z	282001	283000	0.0044	0.0109	0.0117
Z	283001	284000	0.0086	0.0039	0.0076
Z	284001	285000	0.0093	0.0126	0.0116
Z	285001	286000	0.0047	0.0119	0.0145
Z	286001	287000	0.011	0.0146	0.0105
Z	287001	288000	0.0049	0.0114	0.0113
Z	288001	289000	0.0067	0.0073	0.0057
Z	289001	290000	0.0113	0.02	0.0183
Z	290001	291000	0.0118	0.0202	0.0186
Z	291001	292000	0.0022	0.0042	0.0042
Z	292001	293000	0.0074	0.0158	0.0176
Z	293001	294000	0.0076	0.0102	0.0086
Z	294001	295000	0.0057	0.0135	0.0152
Z	295001	296000	0.0026	0.0085	0.0075
Z	296001	297000	0.0083	0.0122	0.0127
Z	297001	298000	0.0013	0.0088	0.0091
Z	298001	299000	0.0061	0.0164	0.0146
Z	299001	300000	0.0017	0.0045	0.0045
Z	300001	301000	0.0054	0.0156	0.0129
Z	301001	302000	0.0041	0.0074	0.0074
Z	302001	303000	0.0062	0.0124	0.0149
Z	303001	304000	0.0048	0.007	0.0078
Z	304001	305000	0.0103	0.0149	0.0134
Z	305001	306000	0.0075	0.006	0.0058
Z	306001	307000	0.006	0.0055	0.0044
Z	307001	308000	0.0119	0.0111	0.0107
Z	308001	309000	0.0049	0.0046	0.0056
Z	309001	310000	0.0089	0.0088	0.0065
Z	310001	311000	0.0056	0.0031	0.0046
Z	311001	312000	0.007	0.0072	0.006
Z	312001	313000	0.0071	0.0072	0.0042
Z	313001	314000	0.0166	0.0165	0.0168
Z	314001	315000	0.0045	0.0065	0.0039
Z	315001	316000	0.0113	0.0093	0.012
Z	316001	317000	0.0031	0.0033	0.0018
Z	317001	318000	0.0111	0.0096	0.0112
Z	318001	319000	0.0024	0.0014	0.0013
Z	319001	320000	0.0053	0.0053	0.0073
Z	320001	321000	0.0069	0.0065	0.0038
Z	321001	322000	0.0027	0.005	0.004
Z	322001	323000	0.0031	0.0138	0.011
Z	323001	324000	0.0066	0.0101	0.0067
Z	324001	325000	0.0068	0.0191	0.018
Z	325001	326000	0.0031	0.0051	0.0052
Z	326001	327000	0.0117	0.0198	0.015
Z	327001	328000	0.0121	0.0172	0.0114
Z	328001	329000	0.0119	0.0118	0.0079
Z	329001	330000	0.022	0.0243	0.0185
Z	330001	331000	0.0175	0.0157	0.0119
Z	331001	332000	0.0147	0.015	0.0101
Z	332001	333000	0.0128	0.0159	0.0113
Z	333001	334000	0.0143	0.0209	0.013
Z	334001	335000	0.01	0.0106	0.0092
Z	335001	336000	0.0079	0.0089	0.0063
Z	336001	337000	0.0112	0.0155	0.0093
Z	337001	338000	0.0094	0.0129	0.0077
Z	338001	339000	0.0103	0.0106	0.0052
Z	339001	340000	0.0103	0.0133	0.0085
Z	340001	341000	0.0132	0.016	0.0074
Z	341001	342000	0.0118	0.012	0.0067
Z	342001	343000	0.0116	0.0131	0.009
Z	343001	344000	0.0068	0.0085	0.0051
Z	344001	345000	0.0065	0.0069	0.0036
Z	345001	346000	0.0065	0.0067	0.0033
Z	346001	347000	0.0092	0.0107	0.0057
Z	347001	348000	0.008	0.009	0.0048
Z	348001	349000	0.0066	0.0078	0.0042
Z	349001	350000	0.0103	0.012	0.006
Z	350001	351000	0.0146	0.017	0.0082
Z	351001	352000	0.0101	0.0121	0.0079
Z	352001	353000	0.0155	0.0168	0.0095
Z	353001	354000	0.0055	0.0138	0.0147
Z	354001	355000	0.0017	0.0125	0.0117
Z	355001	356000	0.0069	0.013	0.0129
Z	356001	357000	0.0033	0.0146	0.0158
Z	357001	358000	0.0055	0.0131	0.0123
Z	358001	359000	0.0224	0.0265	0.0298
Z	359001	360000	0.0037	0.0046	0.0033
Z	360001	361000	0.0008	0.0044	0.0042
Z	361001	362000	0.0045	0.0093	0.009
Z	362001	363000	0.0074	0.0114	0.0094
Z	363001	364000	0.0041	0.0108	0.0083
Z	364001	365000	0.0037	0.007	0.008
Z	365001	366000	0.0129	0.017	0.013
Z	366001	367000	0.0051	0.01	0.0085
Z	367001	368000	0.0042	0.0076	0.0071
Z	368001	369000	0.0011	0.011	0.011
Z	369001	370000	0.0001	0.0052	0.0054
Z	370001	371000	0.0019	0.0165	0.0173
Z	371001	372000	0.002	0.0045	0.0044
Z	372001	373000	0.0023	0.008	0.0087
Z	373001	374000	0.001	0.003	0.003
Z	374001	375000	0.002	0.0085	0.009
Z	375001	376000	0.0013	0.0014	0.0006
Z	376001	377000	0.0086	0.0086	0.0001
Z	377001	378000	0.0093	0.0094	0.0066
Z	378001	379000	0.0031	0.0027	0.001
Z	379001	380000	0.0066	0.0069	0.004
Z	380001	381000	0.007	0.0018	0.0061
Z	381001	382000	0.0112	0.0117	0.0132
Z	382001	383000	0.0112	0.0087	0.0115
Z	383001	384000	0.005	0.003	0.008
Z	384001	385000	0.0026	0.001	0.0032
Z	385001	386000	0.0022	0.0038	0.004
Z	386001	387000	0.0052	0.0082	0.0062
Z	387001	388000	0.0039	0.0048	0.0024
Z	388001	389000	0.0045	0.0052	0.0022
Z	389001	390000	0.0061	0.0035	0.006
Z	390001	391000	0.0073	0.0071	0.0065
Z	391001	392000	0.0132	0.017	0.0122
Z	392001	393000	0.0012	0.001	0.0002
Z	393001	394000	0.0032	0.0041	0.0036
Z	394001	395000	0.0016	0.0024	0.0024
Z	395001	396000	0.0007	0.0036	0.0023
Z	396001	397000	0.0031	0.0041	0.0031
Z	397001	398000	0.0027	0.003	0.0035
Z	398001	399000	0.0072	0.006	0.006
Z	399001	400000	0.0038	0.0044	0.0041
Z	400001	401000	0.0059	0.0058	0.0054
Z	401001	402000	0.0154	0.0141	0.0148
Z	402001	403000	0.0016	0.0025	0.0013
Z	403001	404000	0.003	0.004	0.0024
Z	404001	405000	0.0046	0.0064	0.0045
Z	405001	406000	0.002	0.0024	0.0031
Z	406001	407000	0.0018	0.003	0.0026
Z	407001	408000	0.0031	0.0033	0.0045
Z	408001	409000	0.0091	0.0061	0.007
Z	409001	410000	0.0139	0.0091	0.0157
Z	410001	411000	0.009	0.0044	0.0063
Z	411001	412000	0.0019	0.002	0.0009
Z	412001	413000	0.0016	0.0016	0.0002
Z	413001	414000	0.0054	0.0029	0.0041
Z	414001	415000	0.0086	0.0017	0.0082
Z	415001	416000	0.0013	0.0023	0.0027
Z	416001	417000	0.0023	0.0012	0.0021
Z	417001	418000	0.0033	0.0038	0.0039
Z	418001	419000	0.0021	0.0002	0.0023
Z	419001	420000	0.0052	0.0059	0.0051
Z	420001	421000	0.0045	0.005	0.0065
Z	421001	422000	0.0027	0.0037	0.0016
Z	422001	423000	0.0052	0.0033	0.0039
Z	423001	424000	0.0029	0.003	0.0024
Z	424001	425000	0.0051	0.0037	0.0033
Z	425001	426000	0.0042	0.0037	0.003
Z	426001	427000	0.0145	0.0155	0.0168
Z	427001	428000	0.0063	0.0065	0.0033
Z	428001	429000	0.0109	0.0129	0.0057
Z	429001	430000	0.0043	0.0025	0.0027
Z	430001	431000	0.0032	0.0045	0.0024
Z	431001	432000	0.0036	0.0033	0.0046
Z	432001	433000	0.0076	0.0074	0.0074
Z	433001	434000	0.0048	0.007	0.0027
Z	434001	435000	0.0018	0.0036	0.0027
Z	435001	436000	0.0053	0.0045	0.0062
Z	436001	437000	0.007	0.0078	0.0089
Z	437001	438000	0.0028	0.0029	0.0058
Z	438001	439000	0.0021	0.0021	0.0034
Z	439001	440000	0.0012	0.0043	0.0037
Z	440001	441000	0.0045	0.0031	0.005
Z	441001	442000	0.0055	0.0044	0.0034
Z	442001	443000	0.0113	0.0109	0.0076
Z	443001	444000	0.0052	0.0054	0.0016
Z	444001	445000	0.009	0.0093	0.0048
Z	445001	446000	0.0062	0.0042	0.0058
Z	446001	447000	0.0038	0.0043	0.0056
Z	447001	448000	0.0048	0.0063	0.004
Z	448001	449000	0.0032	0.0022	0.003
Z	449001	450000	0.0045	0.0056	0.0058
Z	450001	451000	0.0036	0.0037	0.0047
Z	451001	452000	0.0019	0.0025	0.0019
Z	452001	453000	0.0037	0.0036	0.0027
Z	453001	454000	0.0039	0.0034	0.0017
Z	454001	455000	0.0052	0.0032	0.0027
Z	455001	456000	0.0227	0.0126	0.0127
Z	456001	457000	0.0058	0.004	0.0029
Z	457001	458000	0.0014	0.0014	0.0007
Z	458001	459000	0.0025	0.0038	0.0031
Z	459001	460000	0.0059	0.0064	0.0045
Z	460001	461000	0.0075	0.0068	0.0056
Z	461001	462000	0.0061	0.0075	0.0054
Z	462001	463000	0.0112	0.0122	0.0109
Z	463001	464000	0.0158	0.0148	0.0123
Z	464001	465000	0.0095	0.0098	0.0061
Z	465001	466000	0.007	0.0072	0.0018
Z	466001	467000	0.0101	0.0116	0.0044
Z	467001	468000	0.0088	0.0071	0.0089
Z	468001	469000	0.0057	0.0071	0.0068
Z	469001	470000	0.008	0.0064	0.0084
Z	470001	471000	0.0067	0.0104	0.0093
Z	471001	472000	0.0041	0.0031	0.0018
Z	472001	473000	0.0085	0.0103	0.0085
Z	473001	474000	0.0064	0.0055	0.0056
Z	474001	475000	0.0067	0.0079	0.0078
Z	475001	476000	0.0032	0.0048	0.0021
Z	476001	477000	0.0025	0.0029	0.0019
Z	477001	478000	0.003	0.0025	0.0031
Z	478001	479000	0.006	0.0054	0.0051
Z	479001	480000	0.0089	0.0096	0.0044
Z	480001	481000	0.0105	0.01	0.0086
Z	481001	482000	0.0044	0.0029	0.0033
Z	482001	483000	0.0048	0.0041	0.0026
Z	483001	484000	0.0017	0.0024	0.0012
Z	484001	485000	0.0025	0.0049	0.0033
Z	485001	486000	0.0025	0.0024	0.0018
Z	486001	487000	0.0045	0.0031	0.0029
Z	487001	488000	0.0021	0.0019	0.0023
Z	488001	489000	0.0036	0.0028	0.0032
Z	489001	490000	0.0017	0.0016	0.0005
Z	490001	491000	0.0064	0.005	0.0035
Z	491001	492000	0.0025	0.0039	0.0038
Z	492001	493000	0.0079	0.0049	0.006
Z	493001	494000	0.0027	0.0029	0.0044
Z	494001	495000	0.0062	0.0062	0.0067
Z	495001	496000	0.0028	0.003	0.0032
Z	496001	497000	0.0046	0.0032	0.0042
Z	497001	498000	0.0016	0.0019	0.0022
Z	498001	499000	0.0036	0.0031	0.0045
Z	499001	500000	0.0096	0.0076	0.0084
Z	500001	501000	0.0101	0.0058	0.0067
Z	501001	502000	0.0017	0.0013	0.0014
Z	502001	503000	0.0028	0.0034	0.0011
Z	503001	504000	0.003	0.0026	0.0017
Z	504001	505000	0.0023	0.0023	0.0016
Z	505001	506000	0.0062	0.0062	0.0005
Z	506001	507000	0.0054	0.0047	0.0012
Z	507001	508000	0.0015	0.0016	0.0021
Z	508001	509000	0.0036	0.0052	0.0062
Z	509001	510000	0.0032	0.0019	0.0026
Z	510001	511000	0.0008	0.0015	0.0011
Z	511001	512000	0.0024	0.0025	0.0023
Z	512001	513000	0.0063	0.0061	0.0073
Z	513001	514000	0.0024	0.0025	0.0021
Z	514001	515000	0.0043	0.0043	0.0049
Z	515001	516000	0.0065	0.0066	0.0055
Z	516001	517000	0.0052	0.0049	0.0038
Z	517001	518000	0.0057	0.0052	0.0039
Z	518001	519000	0.0005	0.0004	0.0001
Z	519001	520000	0.0081	0.0082	0.0055
Z	520001	521000	0.0033	0.0037	0.0035
Z	521001	522000	0.0024	0.0025	0.0028
Z	522001	523000	0.0046	0.007	0.006
Z	523001	524000	0.0018	0.0026	0.0029
Z	524001	525000	0.0019	0.0025	0.003
Z	525001	526000	0.0028	0.0018	0.002
Z	526001	527000	0.0039	0.0039	0.0023
Z	527001	528000	0.0037	0.0027	0.0018
Z	528001	529000	0.0023	0.0019	0.0017
Z	529001	530000	0.0035	0.0024	0.0028
Z	530001	531000	0.0099	0.0107	0.01
Z	531001	532000	0.0045	0.0048	0.0035
Z	532001	533000	0.0028	0.0031	0.0028
Z	533001	534000	0.01	0.0133	0.0117
Z	534001	535000	0.003	0.0057	0.0054
Z	535001	536000	0.0065	0.0101	0.0067
Z	536001	537000	0.0017	0.0022	0.0018
Z	537001	538000	0.0033	0.0025	0.0036
Z	538001	539000	0.0066	0.004	0.0058
Z	539001	540000	0.006	0.0069	0.0059
Z	540001	541000	0.0073	0.0073	0.0094
Z	541001	542000	0.0077	0.0067	0.0094
Z	542001	543000	0.0142	0.0126	0.0125
Z	543001	544000	0.0019	0.0038	0.003
Z	544001	545000	0.012	0.0119	0.0073
Z	545001	546000	0.0061	0.0053	0.0046
Z	546001	547000	0.0051	0.0075	0.0059
Z	547001	548000	0.0024	0.0025	0.0027
Z	548001	549000	0.0061	0.0062	0.0048
Z	549001	550000	0.0052	0.0064	0.0036
Z	550001	551000	0.0079	0.008	0.0063
Z	551001	552000	0.0055	0.0047	0.004
Z	552001	553000	0.003	0.0035	0.0021
Z	553001	554000	0.0047	0.007	0.0035
Z	554001	555000	0.0046	0.0044	0.004
Z	555001	556000	0.0052	0.0057	0.0049
Z	556001	557000	0.0069	0.0083	0.0066
Z	557001	558000	0.0071	0.007	0.0077
Z	558001	559000	0.0054	0.0052	0.0054
Z	559001	560000	0.0019	0.0022	0.0024
Z	560001	561000	0.0062	0.0059	0.0068
Z	561001	562000	0.0051	0.0028	0.0045
Z	562001	563000	0.0034	0.0032	0.003
Z	563001	564000	0.004	0.0047	0.0043
Z	564001	565000	0.0026	0.0024	0.002
Z	565001	566000	0.004	0.0041	0.0038
Z	566001	567000	0.0197	0.02	0.0191
Z	567001	568000	0.0032	0.0066	0.0064
Z	568001	569000	0.0105	0.0058	0.0108
Z	569001	570000	0.0083	0.0073	0.0091
Z	570001	571000	0.0031	0.0032	0.0041
Z	571001	572000	0.0065	0.0066	0.0072
Z	572001	573000	0.0041	0.0019	0.0041
Z	573001	574000	0.0028	0.0019	0.0033
Z	574001	575000	0.004	0.0038	0.0022
Z	575001	576000	0.0043	0.0045	0.0038
Z	576001	577000	0.0047	0.0025	0.0042
Z	577001	578000	0.0048	0.0038	0.0055
Z	578001	579000	0.0046	0.0056	0.0043
Z	579001	580000	0.0037	0.0036	0.0047
Z	580001	581000	0.0034	0.003	0.0045
Z	581001	582000	0.0091	0.0092	0.0083
Z	582001	583000	0.0059	0.0053	0.0067
Z	583001	584000	0.0026	0.0023	0.0023
Z	584001	585000	0.0025	0.0027	0.0034
Z	585001	586000	0.0062	0.0066	0.0097
Z	586001	587000	0.009	0.0191	0.0201
Z	587001	588000	0.0104	0.0089	0.0116
Z	588001	589000	0.0055	0.0035	0.0054
Z	589001	590000	0.0111	0.0078	0.0129
Z	590001	591000	0.0069	0.0057	0.0072
Z	591001	592000	0.0044	0.0053	0.005
Z	592001	593000	0.0063	0.0066	0.0063
Z	593001	594000	0.0082	0.0085	0.0065
Z	594001	595000	0.0098	0.0097	0.0084
Z	595001	596000	0.0073	0.0039	0.0074
Z	596001	597000	0.0059	0.0048	0.0058
